amount,seconds
1000,9.3410
2000,9.4080
5000,14.0256
10000,23.3330
20000,57.9900
50000,270.9756
100000,564.5604
200000,692.5518
500000,1272.7102
1000000,2436.6736
2000000,9888.2130
5000000,52385.4850
10000000,193638.2550
