amount,kb
1000,144841.6000
2000,146320.8000
5000,150447.2000
10000,156215.2000
20000,167874.4000
50000,205260.0000
100000,247143.2000
200000,361064.8000
500000,630076.0000
1000000,1106529.6000
2000000,1522508.0000
5000000,1517928.0000
10000000,1517772.0000
