amount,seconds
1000,2.1114
2000,2.3624
5000,2.9918
10000,10.3712
20000,6.7004
50000,12.9160
100000,25.4700
200000,48.3884
500000,115.7928
1000000,225.0462
2000000,507.8500
5000000,118.7280
10000000,155.7780
