amount,kb
1000,144822.4000
2000,146070.4000
5000,154128.0000
10000,162626.4000
20000,182163.2000
50000,213600.8000
100000,233100.0000
200000,260160.0000
500000,339010.4000
1000000,413504.0000
2000000,576624.0000
5000000,1179288.0000
10000000,1533300.0000
